Neighborhood,Id,MSSubClass,MSZoning,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,Heating,HeatingQC,CentralAir,Electrical,KitchenQual,Functional,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,PoolQC,Fence,MiscFeature,MoSold,SaleType,SaleCondition,FixedLotFrontage,FixedLotArea,FixedMasVnrArea,FixedTotalBsmtSF,Fixed1stFlrSF,Fixed2ndFlrSF,FixedLowQualFinSF,FixedGrLivArea,FixedBsmtFullBath,FixedBsmtHalfBath,FixedFullBath,FixedHalfBath,FixedBedroomAbvGr,FixedKitchenAbvGr,FixedTotRmsAbvGrd,FixedFireplaces,FixedGarageYrBlt,FixedGarageCars,FixedGarageArea,FixedWoodDeckSF,FixedOpenPorchSF,FixedEnclosedPorch,Fixed3SsnPorch,FixedScreenPorch,FixedPoolArea,FixedMiscVal,FixedYrSold,FixedSalePrice,YearsSinceBuilt,YearsSinceRemodel,SafetyScore,BicycleFriendlyScore,WalkabilityScore,SchoolingScore,HouseholdIncomeScore,DesirabilityScore
NridgHt,344,120,RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,TwnhsE,1Story,9,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,Ex,TA,PConc,Ex,TA,No,GasA,Ex,Y,null,Ex,Typ,Ex,Attchd,RFn,TA,TA,Y,NA,NA,NA,7,WD,Normal,63,8849,616,1684,1684,0,0,1684,0,0,2,0,2,1,6,1,2005,2,564,495,72,0,0,0,0,0,2008,266000,3,3,3,3,1,5,3,3
MeadowV,345,160,RM,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,TwnhsE,2Story,5,3,Gable,CompShg,CemntBd,CmentBd,None,TA,TA,CBlock,Gd,TA,No,GasA,TA,Y,null,TA,Typ,NA,Attchd,Unf,TA,TA,Y,NA,NA,NA,4,WD,Normal,36,2592,0,536,536,576,0,1112,0,0,1,1,3,1,4,0,1976,1,336,182,0,0,0,0,0,0,2010,85000,34,34,3,2,1,4,2,2
BrkSide,346,50,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,RRAn,Norm,1Fam,1.5Fin,6,5,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,TA,No,GasA,Gd,Y,null,Fa,Typ,Gd,Detchd,Unf,TA,TA,Y,NA,NA,NA,10,WD,Normal,65,6435,0,972,972,605,0,1577,0,0,1,0,3,1,6,1,1939,1,312,0,0,0,0,0,0,0,2006,140200,67,56,3,4,2,4,3,2
NAmes,347,20,RL,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,1Fam,1Story,6,8,Hip,CompShg,MetalSd,MetalSd,None,TA,Gd,CBlock,TA,TA,Mn,GasA,TA,Y,null,TA,Typ,NA,Attchd,RFn,TA,TA,Y,NA,NA,Gar2,4,WD,Normal,69,12772,0,958,958,0,0,958,0,0,1,0,2,1,5,0,1960,1,301,0,0,0,0,0,0,15500,2007,151500,47,9,3,2,1,4,2,2
NAmes,348,20,RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,GasA,Ex,Y,null,TA,Typ,Gd,Attchd,Unf,TA,TA,Y,NA,NA,NA,12,WD,Normal,69,17600,30,1478,1478,0,0,1478,1,0,2,0,3,1,6,2,1960,2,498,0,40,0,0,0,0,0,2009,157500,49,49,3,2,1,4,2,2
NridgHt,349,160,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,Twnhs,2Story,7,5,Gable,CompShg,VinylSd,Wd Shng,Stone,Gd,TA,PConc,Gd,TA,No,GasA,Ex,Y,null,Gd,Typ,NA,BuiltIn,RFn,TA,TA,Y,NA,NA,NA,10,WD,Normal,36,2448,106,764,764,862,0,1626,1,0,2,1,2,1,6,0,2003,2,474,0,27,0,0,0,0,0,2008,154000,5,4,3,3,1,5,3,3
NridgHt,350,60,RL,Pave,NA,IR2,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,9,5,Hip,CompShg,CemntBd,CmentBd,BrkFace,Ex,TA,PConc,Ex,TA,No,GasA,Ex,Y,null,Ex,Typ,Ex,Attchd,Fin,TA,TA,Y,NA,NA,NA,4,New,Partial,56,20431,870,1848,1848,880,0,2728,1,0,2,1,4,1,10,2,2006,3,706,0,0,0,0,0,0,0,2006,437154,1,0,3,3,1,5,3,3
NridgHt,351,120,RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,TwnhsE,1Story,9,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,Ex,TA,PConc,Ex,TA,No,GasA,Ex,Y,null,Ex,Typ,Gd,Attchd,RFn,TA,TA,Y,NA,NA,NA,12,New,Partial,68,7820,362,1869,1869,0,0,1869,0,0,2,0,2,1,6,1,2007,2,617,210,54,0,0,0,0,0,2007,318061,0,0,3,3,1,5,3,3
ClearCr,352,120,RL,Pave,NA,IR1,Low,AllPub,Inside,Mod,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,PConc,Gd,TA,Gd,GasA,Gd,Y,null,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,NA,NA,NA,12,WD,Abnorml,69,5271,0,1453,1453,0,0,1453,1,0,1,1,2,1,6,1,1986,2,445,0,80,0,0,184,0,0,2006,190000,20,20,2,1,3,3,2,3
Edwards,353,50,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Artery,Norm,1Fam,1.5Fin,5,6,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,TA,Fa,Mn,GasA,TA,N,null,TA,Typ,NA,Detchd,Unf,TA,Fa,Y,NA,NA,NA,3,ConLw,Normal,60,9084,0,616,616,495,0,1111,0,1,1,0,3,1,5,0,1941,1,200,48,0,0,0,0,0,0,2008,95000,67,58,2,2,2,3,2,1
OldTown,354,30,RM,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,6,8,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,BrkTil,TA,TA,No,GasA,Gd,Y,null,TA,Typ,NA,Detchd,Unf,TA,TA,Y,NA,NA,NA,5,WD,Normal,60,8520,0,624,720,0,0,720,0,0,1,0,2,1,5,0,2005,2,484,106,0,0,0,0,0,0,2010,105900,82,7,1,4,2,4,2,1
SWISU,355,50,RL,Pave,NA,Reg,Bnk,AllPub,Inside,Gtl,Norm,Norm,1Fam,1.5Fin,6,5,Gable,CompShg,Wd Sdng,MetalSd,None,TA,TA,CBlock,TA,TA,No,GasA,Ex,Y,null,TA,Typ,Gd,Attchd,Unf,TA,TA,Y,NA,NA,NA,6,WD,Normal,60,8400,0,940,1192,403,0,1595,0,0,1,0,2,1,6,2,1940,1,240,0,0,108,0,0,0,0,2006,140000,66,6,1,2,4,4,1,2
CollgCr,356,20,RL,Pave,NA,IR2,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,Gd,PConc,Gd,Gd,No,GasA,Ex,Y,null,Gd,Typ,NA,Attchd,RFn,TA,TA,Y,NA,NA,NA,8,WD,Normal,105,11249,0,1200,1200,0,0,1200,1,0,2,0,3,1,6,0,1995,2,521,0,26,0,0,0,0,0,2007,177500,12,12,3,1,1,3,2,3
Gilbert,357,20,RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,6,6,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,PConc,Gd,TA,No,GasA,Gd,Y,null,Gd,Typ,NA,Attchd,RFn,TA,TA,Y,NA,NA,NA,7,WD,Normal,69,9248,106,1158,1167,0,0,1167,1,0,2,0,3,1,6,0,1992,2,400,120,26,0,0,0,0,0,2009,173000,17,17,3,3,1,4,3,3
MeadowV,358,120,RM,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,TwnhsE,1Story,5,5,Gable,CompShg,CemntBd,CmentBd,None,TA,TA,PConc,Gd,TA,No,GasA,TA,Y,null,TA,Typ,Po,Attchd,Fin,TA,TA,Y,NA,MnPrv,NA,8,WD,Normal,44,4224,0,1142,1142,0,0,1142,1,0,1,1,3,1,6,1,1976,2,528,536,90,0,0,0,0,0,2007,134000,31,31,3,2,1,4,2,2
ClearCr,359,80,RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,SLvl,5,4,Hip,CompShg,Wd Sdng,ImStucc,BrkFace,TA,TA,CBlock,TA,TA,Av,GasA,Ex,Y,null,Gd,Min2,NA,BuiltIn,Unf,TA,TA,Y,NA,NA,NA,7,WD,Abnorml,92,6930,120,1062,1352,0,0,1352,0,1,1,0,3,1,6,0,1958,1,288,168,0,294,0,0,0,0,2006,130000,48,48,2,1,3,3,2,3
NoRidge,360,60,RL,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GasA,Ex,Y,null,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,NA,NA,NA,6,WD,Normal,78,12011,530,1086,1086,838,0,1924,1,0,2,1,3,1,7,1,1998,2,592,208,75,0,0,374,0,0,2006,280000,8,8,3,2,1,5,3,3
Mitchel,361,85,RL,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,1Fam,SFoyer,6,6,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,Gd,TA,Av,GasA,Ex,Y,null,TA,Typ,TA,Attchd,RFn,TA,TA,Y,NA,MnPrv,NA,6,WD,Normal,69,7540,0,888,912,0,0,912,1,0,1,0,2,1,5,1,1978,2,470,0,0,0,0,192,0,0,2007,156000,29,29,3,2,1,4,2,2
BrkSide,362,50,RL,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1.5Fin,5,5,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,CBlock,TA,TA,No,GasA,Gd,Y,null,TA,Typ,NA,Detchd,Unf,TA,TA,N,NA,NA,NA,7,WD,Normal,69,9144,0,883,988,517,0,1505,1,0,1,0,3,1,8,0,1940,1,240,0,0,0,0,0,0,0,2008,145000,68,26,3,4,2,4,3,2
Edwards,363,85,RL,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,SFoyer,7,5,Gable,CompShg,HdBoard,HdBoard,BrkFace,Gd,TA,Slab,NA,NA,NA,GasA,Ex,Y,null,Gd,Typ,Ex,BuiltIn,RFn,TA,TA,Y,NA,NA,NA,7,ConLD,Normal,64,7301,500,0,495,1427,0,1922,0,0,3,0,4,1,7,1,2003,2,672,0,0,177,0,0,0,0,2009,198500,6,6,2,2,2,3,2,1
BrDale,364,160,RM,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,Twnhs,2Story,6,8,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,GasA,Gd,Y,null,Gd,Typ,NA,Detchd,Unf,TA,TA,Y,NA,NA,NA,5,WD,Normal,21,1680,510,483,483,504,0,987,0,0,1,1,2,1,5,0,1972,1,264,250,0,0,0,0,0,0,2009,118000,37,2,3,2,1,1,2,2
NWAmes,365,60,RL,Pave,NA,IR1,Lvl,AllPub,FR2,Gtl,Norm,Norm,1Fam,2Story,6,5,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,PConc,Gd,TA,Mn,GasA,TA,Y,null,TA,Typ,TA,Attchd,Fin,TA,TA,Y,NA,NA,NA,7,WD,Normal,69,18800,120,796,790,784,0,1574,1,0,2,1,3,1,6,1,1976,2,566,306,111,0,0,0,0,0,2006,190000,30,30,3,2,1,1,3,3
IDOTRR,366,70,RM,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,5,7,Hip,CompShg,VinylSd,VinylSd,None,TA,Gd,CBlock,TA,Fa,No,GasA,Gd,Y,null,TA,Typ,NA,Detchd,Unf,TA,Fa,Y,NA,NA,NA,7,WD,Normal,59,10690,0,672,672,672,0,1344,0,0,1,0,3,1,6,0,1964,1,468,0,128,218,0,0,0,0,2009,147000,89,12,1,2,2,4,1,1
NAmes,367,20,RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,Plywood,Plywood,BrkFace,TA,TA,CBlock,Gd,TA,No,GasA,Gd,Y,null,TA,Typ,Gd,Attchd,RFn,TA,TA,Y,NA,NA,NA,7,WD,Normal,69,9500,247,1394,1394,0,0,1394,1,0,1,1,3,1,6,2,1963,2,514,0,76,0,0,185,0,0,2009,159000,46,46,3,2,1,4,2,2
NAmes,368,80,RL,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,SLvl,6,5,Gable,Tar&Grv,Plywood,Plywood,BrkFace,TA,TA,CBlock,Gd,TA,Gd,GasA,Gd,Y,null,TA,Typ,Gd,Basment,RFn,TA,TA,Y,NA,NA,NA,12,WD,Normal,101,9150,305,1099,1431,0,0,1431,0,1,1,0,3,1,6,1,1962,1,296,64,110,0,0,0,0,0,2008,165000,46,46,3,2,1,4,2,2
NAmes,369,20,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,PConc,TA,TA,No,GasA,Gd,Y,null,TA,Typ,Gd,Attchd,Fin,TA,TA,Y,NA,NA,NA,3,WD,Normal,78,7800,200,1268,1268,0,0,1268,0,0,1,0,2,1,7,1,1954,1,244,0,98,0,0,0,0,0,2010,132000,56,56,3,2,1,4,2,2
NAmes,370,20,RL,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,Gd,CBlock,TA,TA,No,GasA,Ex,Y,null,Gd,Typ,Gd,Detchd,Fin,TA,TA,Y,NA,NA,NA,3,WD,Normal,69,9830,0,1063,1287,0,0,1287,1,0,1,0,3,1,7,1,1997,2,576,364,17,0,0,182,0,0,2010,162000,51,4,3,2,1,4,2,2
Gilbert,371,60,RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,6,5,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,No,GasA,Ex,Y,null,TA,Typ,TA,Attchd,RFn,TA,TA,Y,NA,NA,NA,1,WD,Normal,69,8121,0,953,953,711,0,1664,0,0,2,1,3,1,7,1,2000,2,460,100,40,0,0,0,0,0,2006,172400,6,6,3,3,1,4,3,3
ClearCr,372,50,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Feedr,Norm,1Fam,1.5Fin,4,4,Gable,CompShg,WdShing,Plywood,None,TA,TA,CBlock,NA,NA,NA,GasA,TA,Y,null,TA,Min2,Gd,Detchd,Fin,TA,TA,N,NA,NA,NA,7,WD,Normal,80,17120,0,0,1120,468,0,1588,0,0,2,0,4,1,7,1,1991,2,680,0,59,0,0,0,0,0,2008,134432,49,49,2,1,3,3,2,3
SawyerW,373,120,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,TwnhsE,1Story,6,5,Gable,CompShg,Plywood,Plywood,None,TA,TA,CBlock,Gd,TA,No,GasA,TA,Y,null,TA,Typ,NA,Attchd,Unf,TA,TA,Y,NA,MnPrv,NA,2,WD,Normal,50,7175,0,744,752,0,0,752,1,0,1,0,2,1,4,0,1984,1,264,353,0,0,0,90,0,0,2010,125000,26,26,3,1,1,2,2,3
NAmes,374,20,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,PConc,TA,TA,No,GasA,TA,Y,null,TA,Min2,NA,Attchd,Unf,TA,TA,Y,NA,GdWo,NA,11,WD,Normal,79,10634,0,608,1319,0,0,1319,1,0,1,0,3,1,5,0,1953,1,270,66,0,0,0,0,0,0,2009,123000,56,56,3,2,1,4,2,2
CollgCr,375,60,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,GasA,Ex,Y,null,Gd,Typ,Gd,BuiltIn,Fin,TA,TA,Y,NA,NA,NA,7,WD,Normal,65,8200,0,847,847,1081,0,1928,0,0,2,1,4,1,8,1,2003,2,434,100,48,0,0,0,0,0,2007,219500,4,3,3,1,1,3,2,3
Edwards,376,30,RL,Pave,NA,IR1,Low,AllPub,Inside,Sev,Norm,Norm,1Fam,1Story,1,1,Gable,CompShg,Wd Sdng,Wd Sdng,None,Fa,Fa,BrkTil,Fa,Po,Gd,GasA,Gd,N,null,Fa,Maj1,NA,NA,NA,NA,NA,Y,NA,NA,NA,3,WD,Normal,69,10020,0,683,904,0,0,904,1,0,0,1,1,1,4,0,1980,0,0,0,0,0,0,0,0,0,2009,61000,87,59,2,2,2,3,2,1
CollgCr,377,85,RL,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,1Fam,SFoyer,5,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,GasA,Ex,Y,null,TA,Typ,NA,Detchd,Unf,TA,TA,Y,NA,NA,NA,7,WD,Normal,57,8846,0,870,914,0,0,914,0,0,1,0,2,1,5,0,1998,2,576,0,0,0,0,0,0,0,2006,148000,10,10,3,1,1,3,2,3
Somerst,378,60,FV,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,CemntBd,CmentBd,None,Gd,TA,PConc,Gd,TA,No,GasA,Ex,Y,null,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,NA,NA,NA,12,WD,Normal,102,11143,0,1580,1580,886,0,2466,0,0,3,0,4,1,8,1,2004,2,610,159,214,0,0,0,0,0,2007,340000,3,2,2,2,1,5,3,3
StoneBr,379,20,RL,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,1Story,9,2,Hip,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Av,GasA,Ex,Y,null,Ex,Typ,Ex,Attchd,Fin,TA,TA,Y,NA,NA,NA,6,New,Partial,88,11394,350,1856,1856,0,0,1856,1,0,1,1,1,1,8,1,2010,3,834,113,0,0,0,0,0,0,2010,394432,0,0,3,3,1,1,3,3
Gilbert,380,60,RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,RRAn,Norm,1Fam,2Story,6,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,TA,TA,PConc,Gd,TA,No,GasA,Ex,Y,null,TA,Typ,TA,Attchd,Fin,TA,TA,Y,NA,NA,NA,6,WD,Normal,60,8123,16,982,1007,793,0,1800,0,0,2,1,3,1,7,1,2000,2,463,100,63,0,0,0,0,0,2009,179000,9,9,3,3,1,4,3,3
SWISU,381,50,RL,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1.5Fin,5,6,Gable,CompShg,BrkFace,Wd Sdng,None,TA,TA,BrkTil,TA,TA,No,GasA,TA,Y,null,Gd,Typ,Gd,Detchd,Unf,TA,TA,Y,NA,NA,NA,5,WD,Normal,50,5000,0,1026,1026,665,0,1691,0,0,2,0,3,1,6,1,1924,1,308,0,0,242,0,0,0,0,2010,127000,86,60,1,2,4,4,1,2
Somerst,382,20,FV,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,Gd,No,GasA,Ex,Y,null,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,NA,NA,NA,8,New,Partial,60,7200,0,1293,1301,0,0,1301,1,0,2,0,2,1,5,1,2006,2,572,216,121,0,0,0,0,0,2006,187750,0,0,2,2,1,5,3,3
CollgCr,383,60,RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,GasA,Ex,Y,null,Gd,Typ,NA,Attchd,RFn,TA,TA,Y,NA,NA,NA,4,WD,Normal,79,9245,0,939,939,858,0,1797,0,0,2,1,3,1,8,0,2006,2,639,144,53,0,0,0,0,0,2007,213500,1,1,3,1,1,3,2,3
SawyerW,384,45,RH,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,1.5Unf,6,3,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,Fa,Fa,No,GasA,TA,N,null,TA,Typ,NA,Detchd,Unf,Fa,Fa,N,NA,NA,NA,10,WD,Normal,60,9000,0,784,784,0,0,784,0,0,1,0,2,1,5,0,1950,2,360,0,0,91,0,0,0,0,2009,76000,81,59,3,1,1,2,2,3
ClearCr,385,60,RL,Pave,NA,IR2,Low,AllPub,Corner,Mod,Feedr,Norm,1Fam,2Story,6,5,Gable,CompShg,HdBoard,HdBoard,None,Gd,TA,PConc,Gd,TA,Av,GasA,Ex,Y,null,Gd,Typ,Fa,Attchd,Fin,TA,TA,Y,NA,NA,NA,6,WD,Normal,69,53107,0,1580,1079,874,0,1953,1,0,2,1,3,1,9,2,1992,2,501,216,231,0,0,0,0,0,2007,240000,15,15,2,1,3,3,2,3
Blmngtn,386,120,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,TwnhsE,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GasA,Ex,Y,null,Gd,Typ,TA,Attchd,Fin,TA,TA,Y,NA,NA,NA,4,WD,Normal,43,3182,16,1256,1269,0,0,1269,0,0,2,0,2,1,6,1,2004,2,430,146,20,0,0,144,0,0,2010,192000,6,5,3,3,1,1,3,3
Edwards,387,50,RL,Pave,NA,Reg,Lvl,AllPub,FR2,Gtl,Feedr,Norm,1Fam,1.5Fin,5,3,Gambrel,CompShg,Wd Sdng,VinylSd,None,TA,Fa,PConc,TA,TA,No,GasA,TA,Y,null,TA,Typ,NA,NA,NA,NA,NA,N,NA,NA,NA,5,WD,AdjLand,58,8410,0,658,658,526,0,1184,0,0,1,0,5,1,8,0,1980,0,0,0,151,0,0,0,0,0,2006,81000,96,10,2,2,2,3,2,1
Edwards,388,80,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,SLvl,6,6,Hip,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,CBlock,TA,TA,Av,GasA,Ex,Y,null,TA,Typ,Fa,Detchd,Unf,TA,TA,Y,NA,GdWo,NA,10,WD,Abnorml,72,7200,255,1041,1125,0,0,1125,1,0,1,0,3,1,6,1,1977,1,352,296,0,0,0,0,0,0,2009,125000,33,33,2,2,2,3,2,1
CollgCr,389,20,RL,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GasA,Ex,Y,null,Gd,Typ,NA,Attchd,RFn,TA,TA,Y,NA,NA,NA,7,WD,Normal,93,9382,125,1468,1479,0,0,1479,0,0,2,0,3,1,6,0,1999,2,577,120,25,0,0,0,0,0,2008,191000,9,8,3,1,1,3,2,3
NridgHt,390,60,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,10,5,Gable,CompShg,VinylSd,VinylSd,Stone,Ex,TA,PConc,Ex,TA,Av,GasA,Ex,Y,null,Ex,Typ,Ex,BuiltIn,Fin,TA,TA,Y,NA,NA,NA,8,New,Partial,96,12474,272,1682,1742,590,0,2332,1,0,2,1,3,1,9,1,2008,3,846,196,134,0,0,0,0,0,2008,426000,1,0,3,3,1,5,3,3
Edwards,391,50,RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1.5Fin,5,8,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,Gd,No,GasA,Ex,Y,null,TA,Typ,NA,Detchd,Unf,TA,TA,Y,NA,MnPrv,NA,4,WD,Normal,50,8405,0,861,961,406,0,1367,1,0,1,0,4,1,7,0,1978,1,384,0,130,112,0,0,0,0,2008,119000,108,58,2,2,2,3,2,1
Mitchel,392,60,RL,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,1Fam,2Story,6,5,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Ex,TA,No,GasA,Ex,Y,null,Gd,Typ,TA,BuiltIn,Fin,TA,TA,Y,NA,NA,NA,6,WD,Normal,71,12209,0,804,804,1157,0,1961,1,0,2,1,3,1,7,1,2001,2,560,125,192,0,0,0,0,0,2009,215000,8,7,3,2,1,4,2,2
NAmes,393,20,RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,Slab,NA,NA,NA,GasA,TA,Y,null,TA,Typ,NA,Attchd,RFn,TA,TA,Y,NA,MnPrv,Shed,7,WD,Normal,69,8339,0,0,882,0,0,882,0,0,1,0,3,1,5,0,1959,1,294,0,0,0,0,0,0,1200,2007,106500,48,48,3,2,1,4,2,2
BrkSide,394,30,RL,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Feedr,Norm,1Fam,1Story,4,5,Gable,CompShg,WdShing,Wd Shng,None,TA,TA,CBlock,TA,TA,No,GasA,TA,Y,null,TA,Typ,TA,NA,NA,NA,NA,Y,NA,GdWo,NA,4,WD,Abnorml,69,7446,0,788,788,0,0,788,0,0,1,0,2,1,4,2,1980,0,0,0,0,0,0,0,0,0,2006,100000,65,56,3,4,2,4,3,2
OldTown,395,50,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1.5Fin,5,6,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,CBlock,TA,TA,No,GasA,Gd,Y,null,TA,Typ,NA,Detchd,Unf,TA,TA,Y,NA,NA,NA,7,WD,Normal,60,10134,0,735,735,299,0,1034,0,0,1,0,2,1,5,0,1940,1,240,0,39,0,0,0,0,0,2007,109000,67,57,1,4,2,4,2,1
Edwards,396,20,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,Av,GasA,TA,Y,null,TA,Typ,NA,Attchd,Unf,TA,TA,Y,NA,NA,NA,6,WD,Normal,68,9571,0,1144,1144,0,0,1144,1,0,1,0,3,1,6,0,1956,1,596,44,0,0,0,0,0,0,2010,129000,54,54,2,2,2,3,2,1
